评论ID,评论内容
17520,内容太多 ，有点乱，都是新手那个最后让我们用vim去敲代码，稀里糊涂的。敲了大半天，突然试验时间到了，真的是醉了！！！！！！！！！！
17523,good
17526,还不错，最后那个视频有意思
17532,出去了十几分钟，回来发现实验环境死机了。。
17535,有点难，还需要线下努力！
17538,挺好
17541,OK
17544,网速太慢，安装依赖包等待时间过长
17547,加油呀
17550,感觉mac下实验环境反应有点慢，难道是我机子太老了？11年MacBook Air。。
17556,比较有趣
17559,还不错，作为新手来说还是挺好的一个教程
17562,呵呵 太多
17565,OK
17568,ok too
17571,实验过程中总是不能保存代码
17574,0
17577,介绍了入门linux的一些基础内容
17580,很感谢实验楼提供的平台。
17583,很感谢实验楼提供的平台。
17586,好
17589,很好的网站
17592,bug啊。。。根本没有提醒。。
17595,啊，去看看计算器
17598,运行速度好慢。。
17601,。。。没做完，伤心啊啊啊啊
17604,练习一次还不行，得多次练习才能理解。
17607,实验时间太短
17610,CPU很好，
17613,很好懂
17616,不错
17619,不错
17622,伤心。。。写了那么久都没了。。
17625,又白写了、、
17628,实验时间太短
17646,如何生成报告呢?
17649,好
17655,卡成ppt
17661,很不错
17664,2016.09.26 Python入门第一日
17667,入门级的学习永远是上手难，上手后学好难
17670,好久没学习了，都没动力了
17694,2个钟头
17697,有用，谢谢
17700,环境略卡   都是用物理机在做实验
17703,很好
17709,内容比较多
17715,好
17718,nice
17721,还是没明白 分布式控制系统Git是怎样实现修改代码同步的。因为课程说，实际上，互相推送更新的情况是很少的，那这些不同机器上修改的东西怎么合并呢？ 另外，就是最后一段儿，说的层次模型式  的都是怎么个意思，或实现方式……
17724,学会了
17727,很方便的课程
17730,一脸懵逼。。。。。。
17733,逻辑和思路很好，初学者看的很清晰
17739,好高级
17745,python脚本要放在/home/shiyanlou下，会报错；放在/home/shiyanlou/Code/dezip下运行正常
17748,"1.git config user.email ""zxz@126.com"" 失败。\n 提示： error: could not lock config file .git/config: No such file or directory\n2.clone仓库失败。\n 提示：Cloning into 'gitproject'\n           fatal: unable to access 'http://git.shiyanlou.com/shiyanlou/gitproject': Could not resolve host: git.shiyanlou\n3.怎么确定我的本地仓库当前是否连接到了远程Git服务器呢？\n4. git diff --cached 报错。\n  error: invalid option:-cached\n5.vim file4 到底怎么用、怎么编辑呢……（这个问题我自己应该可以尝试解决掉。。）\n6.快速向前合并是什么意思？没有讲操作诶好像。。。\n7.【我要提问】功能有bug，只输入了两个字“使用” 就再输入不了了。。。"
17751,基础不好，跟着一点点做，一点点入门了
17754,很不错
17757,初次了解linux，感觉好神奇
17760,网站太棒了
17766,怎么是实验启动失败啊？
17769,刚开始接触python，感觉这个实验挺好的，但对我来说感觉有点难啊
17772,入门知识很不错，环境变量还是要好好理解一下
17778,这是个很好的学习环境，非常的有效果
17781,刚刚去了健身房。。
17784,a little hard for a freshman like me to fully understood
17787,溜溜溜溜溜溜
17790,简单
17793,简单
17796,简单
17799,简单
17802,简单
17805,简单
17808,简单
17811,简单
17814,实验楼的实验室真心不错，很好玩！！！
17817,明天来学
17823,越来越难了，都快记不住了\n感觉做总结
17832,讲的并不详细
17835,不太...
17841,简单易懂，实践能力得到很大提升
17847,超级棒
17850,不从，很棒
17988,权限低了点，其他还蛮好哦的
17991,权限低了点，其他还蛮好哦的
17994,很高兴！遇见实验楼， 加油
18006,目录是有大小写敏感的，输错大小写进不了正确的目录，这个跟windows有区别，Windows目录大小写不敏感，所以输入目录的大写和小写都可以。
18012,初学起来还是比较费劲。
18030,"gcc -o FILENAME.exe FILENAME.c  use low key ""o""\nreturn 0 printed inside{}"
18033,因缺思厅
18036,"格式 main（）\n格式 printf (“5+4=%d\\n”,5+4); 错误格式:“5+4=%d/n”"
18039,键盘不能输入
18042,建议结合图形界面，更方便查看仓库搭建情况
18045,"这个实验环境很好,但是速度还是慢了些"
18048,重要和关键知识还是已经非常全面了，例子很清楚经典。但感觉少了些拓展之类的，我也说不清，之前在imooc看了一点Java的基础上面教了import，Scanner这些实用小知识而实验楼没有；实际编程习题偏少，如果自己的账号可以有纪笔记的功能就更好了；
18051,float time=1.5;
18057,才走开一下环境就被删除了，尼玛的
18063,对Linux的进程管理有了一定的了解
18066,对日志管理有了一定的了解
18072,very good!
18075,那个天气网站的html代码形式已经变了，没法直接使用。
18078,内容很丰富，很好的环境
18081,本次实验比较简单
18084,不错 学习了
18087,赞赞
18090,很好
18093,root
18096,谢谢
18099,这节课内容比较多一些
18102,不错
18105,以前从来没见过这样的，很好奇
18108,挺好玩的，我喜欢，呵呵。
18111,看起来不错
18114,挺不错的
18117,666
18120,刚刚有些懂
18126,"哦,有意思"
18129,感觉非常棒
18132,不知道怎么的。卡死了。
18135,"The beginning is easy ,but that's so important that you must pay more attention to it."
18141,这个网站做得很不错
18144,怎么那么卡的，这开发环境。
18147,Linux~~~~要重头学过。
18150,遇到不懂的错误，没法解决
18153,充满挫败感。。
18156,henhaowan
18165,挺好的，简单易学
18168,介绍了RabbitMQ的使用，感觉很好
18189,卡住啦，上次实验失败了make test执行失败
18192,卡住啦，上次实验失败了make test执行失败
18195,卡住啦，上次实验失败了make test执行失败
18198,还没开始听课，还不知道从哪里入手
18201,太棒了
18204,类:.\nid:#\n属性:[]
18213,很好
18219,有点看不懂
18222,太棒了
18225,相当好，这个很不错
18258,简介很不错
18267,不错
18270,学习了ls、cd、pwd等Linux基本操作命令
18273,无论是函数章节还是文件章节出现的name前后是两个__。修改一下就好了。嘎嘎
18276,还可以用'or'1=1')# 密码任意直接登陆
18282,感觉萌萌哒
18285,用起来很赞
18288,看不懂
18291,good
18294,没看懂
18297,还不错，可以使用
18300,实验成功！
18303,很好的体验了编程过程
18315,太卡了－ －
18330,时间有点短
18333,实验楼教学实验平台实在太棒了，使用起来方便简单，真是一个IT学习的好帮手。一百个赞
18336,mission completed！！！
18348,新手，对其中的环境还不太熟悉，熟悉之后再实验
18351,很好用
18354,棒棒
18357,不错！
18363,新手指南还不错，接受起来较容易
18366,已经学过，复习一遍
18369,有报错，眼睛都看花了
18378,很不错，很多基础内容
18381,开始变得有趣了。以前看廖雪峰的教程，都说ｐｙｔｈｏｎ比较容易学，但是看他的教程，我发现自己变得好笨，根本记不住。还是练习少了
18384,很方便！特别适合学linux。
18387,还不错，继续学习吧！
18390,挺不错的环境
18393,很好的体验
18396,新手报到，挺有意思的
18399,这个不错
18402,非常好
18405,可以学到东西的谢谢
18408,just test
18411,不错，刚来学习，实践的确更容易记住命令。
18417,第一节不用实验啊
18423,很好的体验
18426,很好的体验
18432,这个好像没什么用……
18438,学过了　就是扫一下
18441,不错
18444,"说实话　实验楼的教程很鸡肋　实验楼应当注重“实验""二字　就web前端课程来说　前面介绍标签这些知识点这些要么就不要做　要么就做成视频或者阅读起来调理清晰易于记忆的文档　弄个虚拟机界面看似给新手配置好了环境　其实新手根本就不懂那些　　　　还不如弄个在线ide　　我主要是看这里项目还不错"
18447,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼
18450,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼
18453,蛤　我前面还评论实验楼项目不错　结果一进来看　还是一个虚拟机让你搞　　我为毛不再自己电脑上搭建　新手是菜　然而请教下别人　再上网搜一下资料　也可以搞出来了　实验楼就做个虚拟机　我实在想不到这有什么卖点　　　…………不说了　再见实验楼
18456,好评，可以的
18459,"It is a very interesting web,and give me a lot of  images."
18462,嗯，挺好的！
18465,第一次用 挺好玩的
18468,下载速度略慢啊
18471,实验环境卡死
18477,简单易懂
18480,未在主题中不明白什么意思？
18489,接触了vim编辑器的高级功能，如果想深入学习，还得多练
18492,python2 与python3 有很大区别，最好要提示和。
18507,还行
18510,实验环境比较卡
18513,不错的入门学习，谢谢啦！
18516,good
18519,体验不是很好。
18522,图形界面怎么没有保存下来，请及时解决？
18525,学习了基本的操作，不过还是要熟能生巧，路漫漫其修远兮
18531,不错，简洁易懂，适合新人
18534,非常适合初入学习linux的动手练习。
18537,太简单了，数据库连接，ODBC，JDBC，权限管理没讲
18540,nice
18543,nice
18546,nice
18549,nice
18552,nice
18555,始终图形界面在保存之后不能再次打开，请尽快解决。
18558,so good
18564,"scanf(""%d "",s[i]); 可能是在%d字符后多了一个空格，也会出错！是因为将空格读入“0”作为数组的一个输入数字处理的结果？"
18567,挺好玩
18570,好
18573,实验楼不错！
18576,环境很卡
18579,实验环境反应有点慢。。。
18585,界面看起来和Windows差不多
18588,= =比我想象中的简单
18591,banner toilet figlet 这三个程序真有意思！在黑黑的窗口画图。。。
18594,hello world
18597,不错，就是源码没有完全弄明白
18600,原来是把所有的关系存成了一个数组，，，老师的想法也真是奇特
18603,very nice
18606,有点卡
18615,功能很强大，学习了Q
18618,环境打不开
18621,噢噢，
18624,ok
18627,好LAG...
18630,好。
18636,虚拟机还不会用
18639,~_~
18642,按照python学习计划走。
18651,好用！试验成功
18654,太卡了
18657,还可以继续
18663,funny!!
18666,well.
18669,6666
18681,摸索中，O(∩_∩)O谢谢！
18684,好
18687,很好，很强大
18690,hadoop没有启动，不冲会员基本上做不了这个实验，等你好不容易把环境搭好了，然后实验时间就到了。
18696,浅显易懂
18699,还行
18702,机器优点卡
18705,感谢实验楼
18708,knn算法在三个特征的数据集上实现训练集5%的错误率
18711,体验真的不错
18714,非常棒
18717,这个实验还是挺简单的，不过要搞好也是需要记忆的，记不住是个大问题，毕竟还只是个初学者，以后还是可以更好地把实验给做好！加油！come on!
18720,MySQL 没有一点基础，怎么启动MySQL 都不知道，上手有点难，看来我还是先百度一下 mysql 怎么启动。
18723,大概了解了一下这个网站怎么用！
18726,挺新奇的学习方法，回头让我儿子看看吧。
18729,不错
18732,体验很棒！
18735,很好
18738,擦真卡
18741,nice job
18744,学习了LINUX的用户及文件权限管理
18750,nice
18759,best
18762,－ －
18765,实验效果还行
18768,正则表达式...似乎很神奇
18771,最后那个加密与解密的实验很有趣
18774,VIM操作
18777,很不错 选择下次再学学看
18780,可以 满不错的
18783,不会运行
18789,第一次尝试，原来还有实验环境，挺有意思的
18792,好多命令没记住
18795,很不错的学习方法！！很有用，帮助很大。
18798,很棒啊
18801,不错哦
18807,不错哟
18810,好多内容..
18813,还是很管用的
18816,很不错的教程，就是numpy和opencv的安装太花时间了
18819,实验楼真是学习和码代码的好环境
18822,好
18825,SQL零基础。然后，对于桌面版的，不知道从何处打开命令行，只好切换到命令行版。
18828,讲的非常不错
18831,贴心的环境，大赞！
18834,缺少像第一课的实际操作，难以理解
18837,讲解清晰
18840,挺好的
18849,初来乍到，请多指教！
18852,感觉还行
18855,Hello ShiYanLou!
18858,实例简单，但是让人印象深刻，感谢实验楼！
18864,实验环境效果真差，不能按删除键，按回车会提示不能延时
18867,"create table user_anime(\nuser_id int,\nanime_id int,\nforeign key(user_id) references user(id),\nforeign key(anime_id) references anime(id)\n);\n\ninsert into user_anime(1,782);\n执行插入时，出现报错。\n错误信息如下：\nERROR 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '1,782)' at line 1\n属于语法错误，不知道为什么是语法错误？请有关人士解释一下吧。"
18870,体验不错
18873,像Exit这样的命令没有找到，有些运行不了，编辑报告时输入不了文字，撤销不了，影响好多
18876,touch filename ：新建文件\ngcc -o nameA nameB.c :用gcc编译nameB.c，输出文件为nameA\n./nameA :运行nameA
18879,touch filename ：新建文件\ngcc -o nameA nameB.c :用gcc编译nameB.c，输出文件为nameA\n./nameA :运行nameA
18885,一定要熟悉熟悉熟悉所有的操作。勤练
18888,赞！
18900,不错，很好玩
18903,还是要好好在本地做
18906,很好
18909,写教材时的Meteor版本已过期，很多东西照着做是不对的。网络太慢了，下载不了包。
18915,5分钟基本了解了实验楼是什么。
18918,不知所云
18921,i have no idea
18924,循序渐进。
18927,very interesting
18930,太有意思了！
18942,这一章我觉得很重要，主要是系统串讲了Linux系统的常用命令，记住它，对于我们日常使用Linux系统会有很大的方便之处
18945,"还是不错的一段体验，但是看了一下linux教程,并不符合我的口味。"
18948,谢谢
18954,大多都是W3Cschool上的内容。。。
18957,加油，我热爱的
18960,明明都在学习
18963,非常好的实验，好好动手体验!
18972,非常不错
18975,md。。。为什么有效学习时间就这么点
18978,很不错
18981,抱歉  停止使用
18990,yizhi没法停止试验，什么鬼
18993,yizhi没法停止试验，什么鬼
18996,好难操作啊，发实验报告的时候为什么删除键和空格键都不能用啊！
18999,Fighting!
19002,收获颇丰！！
19005,了解了scrapy的基本用法。
19008,开始还好，继续加油学习。
19011,有些小瑕疵，toch这个地方错了，后面总是在提示platform未定义，就没做下去了，原理讲的比较清楚，总的来讲，很简单的一个实验
19014,ok
19020,很不错，第一次实验楼成功编写代码成功
19026,对C还是迷糊
19029,JUST BEGIN
19032,哈哈哈
19038,第一次使用，效果很赞
19044,还不错的样子
19056,很不错，希望可以下次学完整
19059,不错
19065,实验楼很强大啊
19068,very Good
19077,very good
19080,简单易学，感谢
19083,不错，巩固学习。
19086,都会了
19092,有点不懂了。
19095,.。。
19098,lu guo
19101,收获不少
19104,大概了解了一下基础知识！！
19107,很棒
19110,很好很强大~
19116,很好很强大，可惜没视频
19125,?..
19128,这一节我体会到了用函数编译程序的快感~
19131,"en,good"
19134,我居然没有成功啊
19137,很好很不错
19140,出现in function 'main'错误，实验未完成。
19143,了解
19152,蛮实用的
19155,各版本是否语法有所差异，对于定义在哪里进行没有明确的指出
19158,好多命令~
19161,好多命令~
19164,#NAME?
19167,非常好
19170,J.A.R.V.I.S is back.
19173,挺好的，希望再出点《500行代码》里面的项目。。英文读起来毕竟不是太流畅，理解也没中文的好
19182,很好用，实验楼nb
19188,虚拟机很赞
19191,这个挺好的
19194,内容很好，难度适中，学习方式很灵活。不过我想我还是要先学习一下markdown的语法了\n很早就关注实验楼了。最近准备好好地认真地学习一下了。谢谢实验楼。
19197,完全看不懂
19200,0.0还是不会用man搜索……
19206,很不错，但我需要更多基础
19209,不错
19212,很好
19218,授人以鱼不如授人以渔
19221,非常棒，建议增加机器学习相关section
19224,对设计模式有了初步的了解
19227,感觉不错
19230,好难
19233,这时间计算有毒
19239,不错
19242,好不容易啊，还得练习！！！
19245,实验环境失败什么情况
19248,好有意思
19251,haowan
19254,太有意思了
19257,实验文档错别字太多，语句不通
19260,66666
19263,有意思又可以学习，太好了！
19266,获益良多
19284,实验行而有效
19290,切换命令界面后 需要输入i 然后才能敲命令。没找到这个提示
19293,效率不错，比较好
19296,bucuo!
19299,有些语法还不熟悉，等看看语法，再来战
19302,实验设置很好，不只是否是权限的问题，不能返回到之前的实验，有些命令容易遗忘。
19305,好玩
19311,额。。。
19314,很赞，谢谢
19317,无话可说
19320,这个实验挺好的，可以让我学到最原汁原味的python
19323,非常有帮助，帮我大面上了解了python！谢谢！
19326,心有点儿累，\nJ.A.R.V.I.S'friend
19329,喜欢这个干干净净的学习环境。
19332,失败了...
19335,很实用，会反复练习
19338,不会截图，感觉对门外汉的话还是需要多消化
19341,666
19344,这个时间还没搞懂
19347,我已经看过了
19350,666
19353,很不错Python教程
19356,666
19359,这个网站好棒
19362,完全没看明白实验的目的。没有任何提示
19365,为什么我不能看
19368,很好的教程，一会就了解了git的工作流程，谢谢
19371,不错，不错
19374,讲的很好，谢谢实验楼
19377,git push学的不深，讲的也不具体
19380,不错
19383,为什么上不了课
19398,给的编程环境挺好的！
19404,为何namp安装后， python3中无法引入？
19413,33
19416,支持
19419,挺好，特别几个地方有点 细节注解就更好了。
19422,thanks
19425,坚持就是胜利！
19428,还没开始熟悉坏境，希望实验楼越来越好。
19431,可以，很方便，如果有更多操作环境就太好了 ！
19434,提供的平台很好，很喜欢
19437,good
19440,挺好的
19443,vim  坚持到底
19449,循序渐进，感觉 不错
19452,一边工作一边学习！
19455,不用在电脑上装LINUC，就是爽
19458,很方便啊，省了搭建环境这些复杂的步骤了
19464,wer
19467,#NAME?
19470,很好 实验环境配置的很好，对教学很有用， 实验过程中不存在卡顿现象，真的很棒
19473,我有自己的机器，难道必须要在这个环境试验吗 我去
19476,step by step time fly
19482,不错，很好玩
19506,编辑器没有智能提示，有点不好用
19515,学习开源世界的发展史
19518,感觉实验代码有问题
19524,编辑器没有智能提示，有点不好用
19536,删除键不能用
19539,基本操作了解
19542,简单啊。。。。
19545,第二次上来，第一次真正的学习，很开心，感觉很有用
19548,不错，很好玩！又能学到东西！
19551,讲的很详细
19554,不错
19557,学到很多知识
19560,第二节中存在错误，导致实验无法继续进行
19563,gcc
19566,很有意思，喜欢上了这个
19569,65雨果奖
19575,进行下次实验前，先打开xeyes监督自己，并借助vimtutor学习vim基础用法。
19581,toilet --gay love Linux
19584,特别简单，实用
19590,为啥有效时间才12分钟。。。
19593,good
19599,很棒
19602,这个实验环境做的很强，我很喜欢！
19605,偷懒了没做笔记
19608,特别好，有环境，有解说
19611,这种学习的形式很完美！
19617,很不错 我会尝试继续坚持使用
19620,第一次使用实验楼环境，感觉非常好
19623,I want to learn the programing lessons
19626,Linux环境今天第一次用，很不习惯，希望以后慢慢熟悉！
19629,理论能理解一些，但是看代码还是看不懂...
19632,很实用
19635,应该是我这边网络环境的问题，实验界面没有加载出来
19638,近20分钟写报告
19641,很不错
19647,Great
19650,课程简洁明了，可以当做手册。
19656,环境实在是不会用，不过课程非常不错
19659,有其它事情
19665,对于课程最后一个作业，我用了穷举的方法编译找到结果，我觉得那个关于时间复杂度的描述太混乱，空间复杂度目前来说 不好找一个定量的方法描述，随意一般数都是常规性提一下
19668,很好，很实用，对于我这些菜鸟，学习容易上手。
19671,已完成
19677,上网搜的代码查看的路由表 ，是route，自认为网关就是路由器ip192.168.xxx.1，下面的是我电脑的ip192.168.xxx.0
19686,还可以接受
19689,something interesting...Just first found this.Pretty good tool.
19695,很不错的教程，很详细
19698,还需要先了解操作系统！
19701,很形象，但是过于单调！
19704,好棒！
19707,做完了
19710,已经看不懂了
19713,不错
19716,tdythv
19719,实验楼好好玩啊
19722,这个真的很棒！
19731,不错，但是第一次用Linux，看不到最小化后的窗口在哪……
19734,觉得自己的水平太差
19737,还不熟悉，不过很有趣，课程难度中上，应该有一定的基础再来。谢谢
19740,"failed to open display"""
19746,感觉讲的可以，细节到位，跟着操作一下，练练手。
19749,11
19755,我都还不知道怎么回事，你就让我操作，肯定不会啊。例如我现在想要学习mysql的jdbc，原因就是我写的代码总是在jdbc中url部分出问题，或者mysql驱动器类出问题，或者jar包出问题，这里我本来想看视频学习一下怎么写着三个部分的，你这里没有的，我哭了
19758,好卡，我的键盘都动不了了
19761,破系统直接卡死了
19764,嗯 体验还可以。交互反应稍有延迟
19767,还好！
19773,能成功提权，感觉很有成就感
19776,想问一下，远程桌面是怎么做到这么快的响应的
19782,Vector这个东西出现错误
19785,开启新的学习
19788,终于看见比较短的一节了
19794,对系统第一次使用还是不太熟，希望再次练习。
19800,很不错的学习环境，谢谢了
19803,但好像并没有提权
19806,本人对c++程序了解并不是十分深入，多数操作过程不了解，导致实验效率极低。
19809,不知所云
19812,觉得命令行操作挺有趣的
19815,很实用
19818,今天是第一次接触实验楼，希望以后可以在这里学到更多知识
